ts,symbol,weight,dw,abs_dw,txn_cost,slippage_cost,cost
2016-02-25,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,GLD,0.0,0.0,0.0,0.0,0.0,0.0
